Site,Taxa,Depth,Taxa
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea transversa,7,5
Australia,Leptastrea purpurea,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea purpurea,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea purpurea,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea purpurea,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea purpurea,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea purpurea,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea pruinosa,8,5
Australia,Leptastrea bewickensis,8,5
Australia,Leptastrea bewickensis,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea transversa,8,5
Australia,Leptastrea inaequalis,8,5
Australia,Leptastrea pruinosa,9,5
Australia,Leptastrea purpurea,9,5
Australia,Leptastrea pruinosa,9,5
Australia,Leptastrea pruinosa,9,5
Australia,Leptastrea pruinosa,9,5
Australia,Leptastrea pruinosa,9,5
Australia,Leptastrea pruinosa,9,5
Australia,Leptastrea pruinosa,9,5
Australia,Leptastrea pruinosa,9,5
Australia,Leptastrea pruinosa,9,5
Australia,Leptastrea pruinosa,9,5
Australia,Leptastrea purpurea,9,5
Australia,Leptastrea pruinosa,9,5
Australia,Leptastrea pruinosa,9,5
Australia,Leptastrea transversa,9,5
Australia,Leptastrea transversa,9,5
Australia,Leptastrea transversa,9,5
Australia,Leptastrea transversa,9,5
Australia,Leptastrea transversa,9,5
Australia,Leptastrea transversa,9,5
Australia,Leptastrea pruinosa,10,5
Australia,Leptastrea pruinosa,10,5
Australia,Leptastrea pruinosa,10,5
Australia,Leptastrea pruinosa,10,5
Australia,Leptastrea pruinosa,10,5
Australia,Leptastrea pruinosa,10,5
Australia,Leptastrea pruinosa,10,5
Australia,Leptastrea pruinosa,10,5
Australia,Leptastrea pruinosa,11,5
Australia,Leptastrea pruinosa,11,5
Australia,Leptastrea pruinosa,11,5
Australia,Leptastrea pruinosa,11,5
Australia,Leptastrea pruinosa,11,5
Australia,Leptastrea pruinosa,11,5
Australia,Leptastrea transversa,11,5
Australia,Leptastrea transversa,11,5
Australia,Leptastrea transversa,11,5
Australia,Leptastrea transversa,11,5
Australia,Leptastrea transversa,11,5
Australia,Leptastrea transversa,11,5
Australia,Leptastrea pruinosa,12,5
Australia,Leptastrea pruinosa,12,5
Australia,Leptastrea pruinosa,12,5
Australia,Leptastrea pruinosa,12,5
